title,stock_type,mileage,price,dealer_name,dealer_link
2019 Lexus GS F Base,Used,"7,500 mi.","$89,995",Woodfield Lexus,
2007 Chrysler Aspen Limited,Used,"133,550 mi.","$5,250",Auto Select,
2020 McLaren 720S Base,Used,"8,356 mi.","$259,800",Chicago Motor Cars,
2019 McLaren 720S Base,Used,"14,531 mi.","$244,800",Chicago Motor Cars,
2022 Porsche 718 Cayman GT4,Used,"1,351 mi.","$148,800",Chicago Motor Cars,
2020 McLaren 720S Base,Used,"14,760 mi.","$269,800",Chicago Motor Cars,
2019 Ferrari 812 Superfast Base,Used,"6,354 mi.","$359,800",Chicago Motor Cars,
2018 Ferrari 812 Superfast Base,Used,"5,110 mi.","$352,800",Chicago Motor Cars,
2023 Mercedes-Benz AMG SL 63 Base,Mercedes-Benz Certified,"5,797 mi.","$148,999",Mercedes-Benz of Hoffman Estates,
2019 Ferrari 812 Superfast Base,Used,"7,674 mi.","$349,800",Chicago Motor Cars,
2011 Dodge Ram 1500 SLT,Used,"123,345 mi.","$8,995",Carvibe LLC,
2015 Mitsubishi Lancer ES,Used,"184,748 mi.","$5,470",Hyundai of Palatine,
2006 Lexus GX 470 Base,Used,"145,470 mi.","$12,990",Car City Inc,
2016 Kia Soul +,Used,"108,425 mi.","$10,400",Car City Inc,
2006 Buick Rainier CXL,Used,"91,899 mi.","$6,999",North Naperville Autos,
2020 Ferrari 812 Superfast Base,Ferrari Certified,"4,696 mi.","$354,900",Lake Forest Sports Cars,
2023 Mercedes-Benz AMG E 53 4MATIC,Used,"2,509 mi.","$73,990",Knauz Auto Park,
2024 Audi Q8 e-tron Premium Plus,New,,"$81,735",Audi Naperville,
1994 Toyota Supra *Twin-Turbo* *6-Speed Manual*,Used,"48,743 mi.","$129,900",Gold Coast Motors,
2024 Audi Q8 e-tron Premium Plus,New,,"$89,225",Audi Naperville,
2024 Audi Q8 e-tron Premium Plus,New,,"$81,865",Audi Naperville,
2024 Audi Q8 e-tron Prestige,New,,"$92,465",Audi Naperville,
2008 Porsche Boxster S,Used,"51,504 mi.","$33,900",Gold Coast Motors,
title,stock_type,mileage,price,dealer_name,dealer_link
2025 Lexus NX 350h Premium,New,,"$54,045",McGrath Lexus Chicago,
2020 Bentley Continental GT V8,Used,"17,523 mi.","$168,800",Bentley Bugatti Lamborghini Maserati Rolls-Royce of Chicago,
2025 Lexus NX 350h Premium,New,,"$54,045",McGrath Lexus Chicago,
2019 Kia K900 Luxury,Used,"43,495 mi.","$28,995",High Quality Auto Group,
2017 Lexus IS 200t ,Used,"49,846 mi.","$24,998",CarMax Shreveport,
2014 Mercedes-Benz SLK-Class SLK 250,Used,"68,834 mi.","$20,837",Chicago Auto Warehouse,
2018 BMW 740e xDrive iPerformance,Used,"19,835 mi.","$33,599",Zeigler Ford of North Riverside,
2019 Volvo XC90 Hybrid T8 Momentum,Used,"72,447 mi.","$37,891",The Autobarn Volvo Cars of Oak Park,
